date,submission,kaggle_public,local_run,note
09-07,v1 baseline,0.74,,no domain matching
09-07,v2 JPEG domain match,0.859,,degradation pipeline added
09-08,v4,0.895,,
09-08,v7 pseudo round2,0.922,v7_tiny_noext,
09-08,v7b CLIP-base + tiny,0.92796,,
09-08,v8 +ViT-CLIP +painting,0.94695,v8_win_0947,
09-09,v8e +ImageNet-R,0.96232,v8e_paint_inr,
09-09,submission_D3_LgP.csv,0.96499,v9_large+v10_distil,clean pre-correction lineage
09-09,31 tier-A edits,0.96435,,RETRACTED - worse; cross-category
09-09,78 self-consistent edits,0.96574,,RETRACTED
09-09,submission_corr_B.csv,0.96638,,RETRACTED - 47 same-group edits
09-10,submission_A3.csv,0.96734,A_distil2,round-2 distil; teacher had baked-in corrections
09-10,B_A3_cnv2.csv,0.97065,B_cnv2,+ConvNeXt-V2-base FCMAE
09-11,submission_H_only.csv,0.95869,E_huge,ConvNeXt-V2-Huge alone - overfits
09-11,submission_H_Lb_Lp1.csv,0.97267,C_cnv2L+E_huge,mixed ensemble
09-11,submission_CL_L_only.csv,0.97342,C_cnv2L pseudo1,** BEST - single model **
09-11,submission_2seed_corr.csv,0.97353,C_cnv2L+seed4242,RETRACTED; seed-ens worse than single
09-11,submission_corr_cnv2L.csv,0.97406,,RETRACTED
09-11,submission_corr_cnv2L_r3.csv,0.97417,,RETRACTED
09-11,submission_tta18_corr.csv,0.97417,,RETRACTED; 18-view TTA tied 6-view
09-12,submission_trio_bal030.csv,0.97257,trio_bal030 pseudo1,clean map+balanced+ratio.30; -0.085 = tie
09-12,submission_datadiv_ens.csv,,C_cnv2L + trio_bal030,"BUILT, not submitted"
09-12,submission_res256_base.csv,,res256 base ep8,"BUILT, not submitted - resolution probe"
09-12,submission_res256.csv,,res256 pseudo1,BUILT - DO NOT SUBMIT (collapsed)
09-13,submission_fixmatch.csv,0.96926,fixmatch,FixMatch alone; <0.9700 -> line closed per plan 3.3
09-13,submission_ens_FMAC112.csv,0.97459,FM+A+C,FM weight 0.25; -0.107pt vs 0.97566
09-13,submission_ens_FMAC212.csv,0.97267,FM+A+C,FM weight 0.40; monotone in FM weight
09-13,submission_ens_FMC12.csv,0.97225,FM+C,no A; -0.341pt
09-13,submission_dinov3flat_base.csv,0.96264,dinov3 flat base,PASSED 4.2 gate (>=0.96150); ties D 0.96350 within 1/3 SE; 2.99% disagree vs A
09-13,submission_dinov3ps1.csv,0.97171,dinov3 pseudo1,"teacher A(x)C 1:2; -0.17pt vs A, 2.10% disagree; MISSED plan bar 0.9720 by 0.12 SE; two-bar rule silent in the -0.14..-0.42 band"
09-13,submission_ens_ACD3temp.csv,0.97673,blend (no GPU),"temp-matched equal-weight A+C+DINOv3ps1, arithmetic (reproduces ACtemp construction row-for-row); k=62 vs ACtemp, k=54 vs pick1; all 62 moved rows conf<0.7; 57/62 follow D3; clean-559 reserve 92.49 vs ACtemp 90.52 (net +11/19)"
09-13,submission_ens_ACD3logit121.csv,NOT SUBMITTED,blend (no GPU),the one weight variant allowed by 4.4; geometric A:C:D3=1:2:1 (no temp match). k=23 vs new pick 1 ACD3temp -> below the k<30 no-submit line; the two constructions converge once D3 is in. Verified: --no-temp A:C=1:2 reproduces AClogit1to2 row-for-row
09-14,submission_softkd.csv,0.97524,soft-label KD,"teacher = ACD3temp 0.97673 blend, T=1 soft targets (no LS on soft rows), thr 0.7 -> 11114 rows, student re-init from pretrained, 192px 16ep, best ep 6. k=172 (1.47%) vs A -> replace-A test per 5.3, not an ensemble member. conf 0.8919"
09-14,submission_ens_KDCD3temp.csv,0.97716,blend (no GPU),"NEW BEST. temp-matched equal KD+C+D3 (KD substituted for A per 5.3). k=90 vs ACD3temp, delta +0.043pt, win-rate 52.8% -> TIE not signal; only vs A alone is it a signal (+0.374pt, 62.7%). Gap to LB top 0.010pt"
09-14,submission_dinov2vitl_base.csv,0.97363,dinov2 vitl base,"2nd new prior per 4.6 (deviation: 4.6 conditions DINOv2 on DINOv3 failing, which it did not; run under 7 orthogonality clause). 196px TTA 168/196/224, pool avg, flat 2e-5, grad ckpt, bs20. best ep 6, TTA val 0.9937. clean-reserve 0.9378 vs DINOv3 base 0.8964 = +4.14pt same-stage. disagree 2.29% vs A. GATE = 0.96150"
09-14,submission_ens_KDCD3V2temp.csv,0.97790,blend (no GPU),"add DINOv2 ViT-L base as 4th member; temp-matched equal KD+C+D3+V2. V2 base clears BOTH bars as a base model (+0.02pt vs A, 2.29% disagree) - unprecedented"
09-14,submission_dinov2vitlps1.csv,0.97950,dinov2 vitl pseudo1,"teacher KDCD3temp 0.97716, thr 0.7 -> 11066 rows. best ep 2/16; corrected 2-clause 4.5 test = NOT a collapse (EMA fell 0.43pt vs 1.00pt threshold). HOMOGENISED: disagree vs A 2.29%->1.84%, conf 0.8765->0.8934. Fails the 2% diversity bar vs every member; V2 BASE is the better member"
09-14,submission_ens_V2PKDtemp.csv,0.97908,blend (no GPU),"V2P+KD temp-matched equal. Tests whether ANY blend still helps now the anchor moved to 0.97950 -- every other member is now 0.43-0.78pt weaker, i.e. all on the too-weak side of the bracketed cutoff. KD is the least-weak at -0.43pt. Prediction: dilution"
09-14,submission_cnv2Lps1_V2Pteach.csv,NOT SUBMITTED,cnv2L student w/ V2ps1 teacher,"teacher upgrade 0.97673->0.97950 for the FCMAE lineage. Only 1.01% disagreement with the teacher (worse than B 0.99% which hurt) -> fails the diversity bar, is a lossy copy. Rendition reserve 88.86% = identical to the KD-era cnv2L and 4.15pt BELOW its teacher: distillation transfers test-set decisions, NOT cross-domain capability"
09-14,submission_dinov3vitl_base.csv,0.97556,dinov3 vitl base,"2nd new ViT. BEST BASE EVER (+0.193pt over DINOv2 base, +1.21pt over DINOv3 cnxL). Resolves the arch-vs-prior confound: ViT architecture = 78% of the gap, prior = 22%. Reserve INVERTED this same-stage base-vs-base call (said DINOv2 better by 0.90pt; Kaggle says DINOv3 ViT better by 0.193pt) -> reserve measures only the rendition stratum"
09-14,submission_ens_V2PV3Ttemp.csv,0.98089,blend (no GPU),"FIRST OVER 0.98. temp-matched equal V2P+V3T. SIGNAL vs all three baselines (+0.139pt/61.3% vs V2P). BREAKS the disagreement-rate criterion: V3T at 1.50% disagreement HELPED where KD at 1.61% was a wash. Operative variable is STRATA COMPLEMENTARITY (V2P strong on renditions, V3T strong on photos), not raw disagreement. First local measurement ever to predict a blend gain (reserve: blend 93.78% EXCEEDS both members 93.01/92.88)"
09-14,submission_ens_V2PV3Ptemp.csv,0.98132,blend (no GPU),"FINAL PICK 1. temp-matched equal V2P+V3P. TIE vs V2P+V3T (+0.043pt, 53.3%) -- highest public but statistically tied. Rendition screen predicted the tie: exceeds best member by only +0.13pt vs +0.77pt for V2P+V3T"
09-14,submission_dinov3vitlps1.csv,NOT SUBMITTED,dinov3 vitl pseudo1,"teacher V2P 0.97950. best ep 6/16, rendition reserve 0.9430 (project high). Only 0.92% disagreement with its teacher -- heavily homogenised. Used only as a blend member (pick 1), never submitted alone"
09-15,submission_dinov3vitl_lpft_base.csv,0.97310,dinov3 vitl base LP-FT,"LP-FT (2-epoch linear probe, then identical fine-tune) vs V3T base 0.97556: -0.246pt, k=156, win-rate 40.8% -> TIE by the project rule, leaning WORSE (~-2 SD). Local metrics had pointed UP: reserve +0.65pt (p=0.27), photo holdout +0.67pt (p=0.004). Pre-registered rule -> LP-FT line CLOSED; SigLIP+LP-FT not started"
09-15,submission_siglip2vitl_base.csv,0.94268,siglip2 vitl base,"SigLIP 2 gap ViT-L/16, recipe identical to V3T base (flat 2e-5). FAILED the pre-registered 0.9700 gate by 2.7pt -> line CLOSED, no distillation. vs V3T base -3.29pt, k=555, win-rate 15.4% -> SIGNAL worse. Reserve predicted the direction (-3.76pt, p=3.8e-05) but the 4:1 magnitude estimate (~0.9665) was far off: ratio here ~1.1:1"
09-15,submission_websslvitl_base.csv,0.94236,webssl vitl base,"Web-SSL DINO ViT-L (DINOv2 recipe on MC-2B web data), recipe identical to V2 base (196px, flat 2e-5, fresh fc_norm as V2 actually had). Pre-registered gate >= 0.9700. Reserve 89.51%: vs V2 base -4.27pt (6 vs 39, p=5.4e-07), vs V3T base -3.37pt (p=3.1e-04). k=549 vs pick 1. Local profile ~identical to SigLIP (0.94268). PREDICTION before submitting: below both DINO bases, fails the gate. RESULT 0.94236: gate FAILED by 2.8pt -> line CLOSED, no distillation. vs V3T base -3.32pt, k=535, win-rate ~14% -> SIGNAL worse; vs V2 base -3.13pt, k=550 -> SIGNAL worse. Reserve direction 6-for-6"
09-17,submission_eva02l_base.csv,0.96915,eva02 large base,"EVA-02 L (MIM on Merged-38M, IN-22k/1k fine-tuned), recipe identical to V2 base. Pre-registered gate >= 0.9700. Reserve 92.49%: vs V2 base -1.30pt (p=0.17), vs V3T base -0.39pt (p=0.77) -- not significant. k=262 vs pick 1. PREDICTION before submitting: passes the gate; no direction call vs the DINO bases. RESULT 0.96915: gate MISSED by 0.085pt -> line CLOSED by the pre-registered rule; prediction WRONG. vs V3T base -0.641pt, k=263, win-rate ~36% -> SIGNAL worse; vs V2 base -0.448pt, k=289, ~41% -> TIE"
09-17,submission_eva02lps1.csv,0.98132,eva02 large pseudo1,"POST-HOC override of the missed base gate (0.96915). Teacher V2P+V3P, best ep 2/16, reserve 92.88%, k=110 vs pick 1. Blend member only. SUBMITTED by the user: 0.98132 -- best single model of the project, equal to pick 1 blend; base->pseudo gain +1.22pt"
